,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er,sie,es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4,Infinitif
0,sein,bin,,bist,,ist,war,,gewesen,,wäre,,sei,,,seid,,sein,,,,,,,être
1,haben,habe,,hast,,hat,hatte,,gehabt,,hätte,,habe,hab,,habt,,haben,,,,,,,avoir
2,einen,eine,,einst,,eint,einte,,geeint,,einte,,eine,ein,,eint,,haben,,,,,,,un
3,werden,werde,,wirst,,wird,wurde,ward,geworden,worden,würde,,werde,,,werdet,,sein,,,,,,,devenir
4,können,kann,,kannst,,kann,konnte,,gekonnt,,könnte,,—,,,—,,haben,,,,,,,peut
5,meinen,meine,,meinst,,meint,meinte,,gemeint,,meinte,,meine,,,meint,,haben,,,,,,,signifier
6,wollen,will,,willst,,will,wollte,,gewollt,wollen,wollte,,—,,,—,,haben,,,,,,,vouloir
7,gehen,gehe,,gehst,,geht,ging,,gegangen,,ginge,,geh,gehe,,geht,gehet,sein,,Blender3D NormalWalkCycle.gif|mini|1|Animation einer ''gehenden'' Person,,,,,aller
8,sagen,sage,,sagst,,sagt,sagte,,gesagt,,sagte,,sag,sage,,sagt,,haben,,,,,,,dire
9,sehen,sehe,,siehst,,sieht,sah,,gesehen,sehen,sähe,,siehe,sieh,,seht,,haben,,,,,,,voir
10,machen,mache,,machst,,macht,machte,,gemacht,,machte,,mache,mach,,macht,,haben,,,,,,,faire
11,tun,tue,tu,tust,,tut,tat,,getan,,täte,,tue,tu,,tut,,haben,,,,,,,faire
12,kommen,komme,,kommst,,kommt,kam,,gekommen,,käme,,komm,komme,,kommt,,sein,,,,,,,viens
13,geben,gebe,,gibst,,gibt,gab,,gegeben,,gäbe,,gib,,,gebt,,haben,,,,,,,donner
14,wissen,weiß,,weißt,,weiß,wusste,,gewusst,,wüsste,,wisse,,,wisset,wisst,haben,,,,,,,connaissance
15,sollen,soll,,sollst,,soll,sollte,,gesollt,sollen,sollte,,—,,,—,,haben,,,,,,,devrait
16,denken,denke,,denkst,,denkt,dachte,,gedacht,,dächte,,denk,denke,,denkt,,haben,,,,,,,pense
17,hören,höre,,hörst,,hört,hörte,,gehört,hören,hörte,,hör,höre,,hört,,haben,,His Master's Voice.jpg|mini|1|Er ''hört'' die Stimme seines Herrn.,,,,,entendre
18,finden,finde,,findest,,findet,fand,,gefunden,,fände,,finde,,,findet,,haben,,,,,,,trouver
19,glauben,glaube,,glaubst,,glaubt,glaubte,,geglaubt,,glaubte,,glaub,glaube,,glaubt,,haben,,,,,,,croire
20,leben,lebe,,lebst,,lebt,lebte,,gelebt,,lebte,,lebe,leb,,lebt,,haben,,,,,,,vie
21,mögen,mag,,magst,,mag,mochte,,gemocht,mögen,möchte,,—,,,—,,haben,,,,,,,comme
22,nehmen,nehme,,nimmst,,nimmt,nahm,,genommen,,nähme,,nimm,,,nehmt,,haben,,,,,,,prendre
23,müssen,muss,,musst,,muss,musste,,gemusst,,müsste,,—,,,—,,haben,,,,,,,doit
24,lassen,lasse,,lässt,,lässt,ließ,,gelassen,lassen,ließe,,lass,lasse,,lasst,lasset,haben,,,,,,,laisser
25,warten,warte,,wartest,,wartet,wartete,,gewartet,,wartete,,warte,,,wartet,,haben,,,,,,,attendez
26,verstehen,verstehe,,verstehst,,versteht,verstand,,verstanden,,verstände,verstünde,verstehe,,,versteht,,haben,,,,,,,comprendre
